rank,window_size,motif_index,neighbor_index,motif_start,motif_end,neighbor_start,neighbor_end,profile_value,motif_regime,neighbor_regime,same_regime_flag,representation
1,60,19472,13712,2025-01-14 12:32:00+00:00,2025-01-14 13:31:00+00:00,2025-01-10 12:32:00+00:00,2025-01-10 13:31:00+00:00,1.4305047579705519,high_vol,mid_vol,False,hl_range_m60
2,60,339518,380463,2025-08-24 18:38:00+00:00,2025-08-24 19:37:00+00:00,2025-09-22 05:03:00+00:00,2025-09-22 06:02:00+00:00,1.4970582079560688,mid_vol,low_vol,False,hl_range_m60
3,60,274818,466954,2025-07-10 20:18:00+00:00,2025-07-10 21:17:00+00:00,2025-11-21 06:34:00+00:00,2025-11-21 07:33:00+00:00,1.6065958043550839,mid_vol,high_vol,False,hl_range_m60
4,60,61231,20911,2025-02-12 12:31:00+00:00,2025-02-12 13:30:00+00:00,2025-01-15 12:31:00+00:00,2025-01-15 13:30:00+00:00,1.9934785203634797,mid_vol,mid_vol,True,hl_range_m60
5,60,11590,107471,2025-01-09 01:10:00+00:00,2025-01-09 02:09:00+00:00,2025-03-16 15:11:00+00:00,2025-03-16 16:10:00+00:00,2.0464237481024887,mid_vol,high_vol,False,hl_range_m60
6,60,426940,125814,2025-10-24 11:40:00+00:00,2025-10-24 12:39:00+00:00,2025-03-29 08:54:00+00:00,2025-03-29 09:53:00+00:00,2.1158586341425636,mid_vol,low_vol,False,hl_range_m60
7,60,363574,346294,2025-09-10 11:34:00+00:00,2025-09-10 12:33:00+00:00,2025-08-29 11:34:00+00:00,2025-08-29 12:33:00+00:00,2.1172793260626133,low_vol,low_vol,True,hl_range_m60
8,60,101492,343883,2025-03-12 11:32:00+00:00,2025-03-12 12:31:00+00:00,2025-08-27 19:23:00+00:00,2025-08-27 20:22:00+00:00,2.166664669911761,high_vol,high_vol,True,hl_range_m60
9,60,373985,356376,2025-09-17 17:05:00+00:00,2025-09-17 18:04:00+00:00,2025-09-05 11:36:00+00:00,2025-09-05 12:35:00+00:00,2.3063931182549413,low_vol,low_vol,True,hl_range_m60
10,60,178384,93556,2025-05-04 21:04:00+00:00,2025-05-04 22:03:00+00:00,2025-03-06 23:16:00+00:00,2025-03-07 00:15:00+00:00,2.3562158872184136,low_vol,high_vol,False,hl_range_m60
