rank,window_size,motif_index,neighbor_index,motif_start,motif_end,neighbor_start,neighbor_end,profile_value,motif_regime,neighbor_regime,same_regime_flag,representation
1,720,338859,379804,2025-08-24 07:39:00+00:00,2025-08-24 19:38:00+00:00,2025-09-21 18:04:00+00:00,2025-09-22 06:03:00+00:00,22.418532518132675,low_vol,low_vol,True,log_return_m720
2,720,356956,423271,2025-09-05 21:16:00+00:00,2025-09-06 09:15:00+00:00,2025-10-21 22:31:00+00:00,2025-10-22 10:30:00+00:00,23.579989998494533,high_vol,high_vol,True,log_return_m720
3,720,13051,406640,2025-01-10 01:31:00+00:00,2025-01-10 13:30:00+00:00,2025-10-10 09:20:00+00:00,2025-10-10 21:19:00+00:00,23.92958181599683,high_vol,low_vol,False,log_return_m720
4,720,86610,429725,2025-03-02 03:30:00+00:00,2025-03-02 15:29:00+00:00,2025-10-26 10:05:00+00:00,2025-10-26 22:04:00+00:00,24.698396891811537,mid_vol,high_vol,False,log_return_m720
5,720,160430,418909,2025-04-22 09:50:00+00:00,2025-04-22 21:49:00+00:00,2025-10-18 21:49:00+00:00,2025-10-19 09:48:00+00:00,27.077767770259307,low_vol,low_vol,True,log_return_m720
6,720,504187,335655,2025-12-17 03:07:00+00:00,2025-12-17 15:06:00+00:00,2025-08-22 02:15:00+00:00,2025-08-22 14:14:00+00:00,28.18308653953706,mid_vol,low_vol,False,log_return_m720
7,720,73651,433845,2025-02-21 03:31:00+00:00,2025-02-21 15:30:00+00:00,2025-10-29 06:45:00+00:00,2025-10-29 18:44:00+00:00,28.252065837419128,low_vol,low_vol,True,log_return_m720
8,720,373322,8824,2025-09-17 06:02:00+00:00,2025-09-17 18:01:00+00:00,2025-01-07 03:04:00+00:00,2025-01-07 15:03:00+00:00,28.583847390661855,mid_vol,low_vol,False,log_return_m720
9,720,489303,343937,2025-12-06 19:03:00+00:00,2025-12-07 07:02:00+00:00,2025-08-27 20:17:00+00:00,2025-08-28 08:16:00+00:00,29.56853916504777,low_vol,high_vol,False,log_return_m720
10,720,20255,362915,2025-01-15 01:35:00+00:00,2025-01-15 13:34:00+00:00,2025-09-10 00:35:00+00:00,2025-09-10 12:34:00+00:00,29.677251241043777,high_vol,low_vol,False,log_return_m720
