rank,window_size,motif_index,neighbor_index,motif_start,motif_end,neighbor_start,neighbor_end,profile_value,motif_regime,neighbor_regime,same_regime_flag,representation
1,720,480715,9292,2025-11-30 19:55:00+00:00,2025-12-01 07:54:00+00:00,2025-01-07 10:52:00+00:00,2025-01-07 22:51:00+00:00,3.2927685403218403,low_vol,low_vol,True,raw_close_m720
2,720,141780,319418,2025-04-09 11:00:00+00:00,2025-04-09 22:59:00+00:00,2025-08-10 19:38:00+00:00,2025-08-11 07:37:00+00:00,4.0957085844369185,high_vol,low_vol,False,raw_close_m720
3,720,36895,501522,2025-01-26 14:55:00+00:00,2025-01-27 02:54:00+00:00,2025-12-15 06:42:00+00:00,2025-12-15 18:41:00+00:00,4.149734603225848,low_vol,mid_vol,False,raw_close_m720
4,720,520912,279094,2025-12-28 17:52:00+00:00,2025-12-29 05:51:00+00:00,2025-07-13 19:34:00+00:00,2025-07-14 07:33:00+00:00,4.308720395054985,low_vol,mid_vol,False,raw_close_m720
5,720,492977,393188,2025-12-09 08:17:00+00:00,2025-12-09 20:16:00+00:00,2025-10-01 01:08:00+00:00,2025-10-01 13:07:00+00:00,4.363394671810489,low_vol,low_vol,True,raw_close_m720
6,720,336126,158186,2025-08-22 10:06:00+00:00,2025-08-22 22:05:00+00:00,2025-04-20 20:26:00+00:00,2025-04-21 08:25:00+00:00,4.371867499918709,low_vol,high_vol,False,raw_close_m720
7,720,137402,465617,2025-04-06 10:02:00+00:00,2025-04-06 22:01:00+00:00,2025-11-20 08:17:00+00:00,2025-11-20 20:16:00+00:00,4.406027667279943,low_vol,mid_vol,False,raw_close_m720
8,720,274156,86965,2025-07-10 09:16:00+00:00,2025-07-10 21:15:00+00:00,2025-03-02 09:25:00+00:00,2025-03-02 21:24:00+00:00,4.546017924482087,low_vol,mid_vol,False,raw_close_m720
9,720,454298,357843,2025-11-12 11:38:00+00:00,2025-11-12 23:37:00+00:00,2025-09-06 12:03:00+00:00,2025-09-07 00:02:00+00:00,4.645979036061306,mid_vol,low_vol,False,raw_close_m720
10,720,455659,294926,2025-11-13 10:19:00+00:00,2025-11-13 22:18:00+00:00,2025-07-24 19:26:00+00:00,2025-07-25 07:25:00+00:00,4.666324907029802,high_vol,mid_vol,False,raw_close_m720
