rank,window_size,motif_index,neighbor_index,motif_start,motif_end,neighbor_start,neighbor_end,profile_value,motif_regime,neighbor_regime,same_regime_flag,representation
1,60,346325,13745,2025-08-29 12:05:00+00:00,2025-08-29 13:04:00+00:00,2025-01-10 13:05:00+00:00,2025-01-10 14:04:00+00:00,0.21879788983437387,low_vol,mid_vol,False,rolling_volatility_m60
2,60,466981,20938,2025-11-21 07:01:00+00:00,2025-11-21 08:00:00+00:00,2025-01-15 12:58:00+00:00,2025-01-15 13:57:00+00:00,0.2578892162857698,high_vol,mid_vol,False,rolling_volatility_m60
3,60,424006,425158,2025-10-22 10:46:00+00:00,2025-10-22 11:45:00+00:00,2025-10-23 05:58:00+00:00,2025-10-23 06:57:00+00:00,0.29156359668440673,mid_vol,low_vol,False,rolling_volatility_m60
4,60,430434,343932,2025-10-26 21:54:00+00:00,2025-10-26 22:53:00+00:00,2025-08-27 20:12:00+00:00,2025-08-27 21:11:00+00:00,0.3040557035663013,mid_vol,mid_vol,True,rolling_volatility_m60
5,60,61262,363602,2025-02-12 13:02:00+00:00,2025-02-12 14:01:00+00:00,2025-09-10 12:02:00+00:00,2025-09-10 13:01:00+00:00,0.32090008788082025,low_vol,low_vol,True,rolling_volatility_m60
6,60,356929,19503,2025-09-05 20:49:00+00:00,2025-09-05 21:48:00+00:00,2025-01-14 13:03:00+00:00,2025-01-14 14:02:00+00:00,0.36850677422406064,mid_vol,mid_vol,True,rolling_volatility_m60
7,60,489330,423294,2025-12-06 19:30:00+00:00,2025-12-06 20:29:00+00:00,2025-10-21 22:54:00+00:00,2025-10-21 23:53:00+00:00,0.36948144541335315,high_vol,high_vol,True,rolling_volatility_m60
8,60,467053,123731,2025-11-21 08:13:00+00:00,2025-11-21 09:12:00+00:00,2025-03-27 22:11:00+00:00,2025-03-27 23:10:00+00:00,0.37849571250319974,high_vol,high_vol,True,rolling_volatility_m60
9,60,509424,226809,2025-12-20 18:24:00+00:00,2025-12-20 19:23:00+00:00,2025-06-07 12:09:00+00:00,2025-06-07 13:08:00+00:00,0.3987493677901275,low_vol,low_vol,True,rolling_volatility_m60
10,60,356989,279851,2025-09-05 21:49:00+00:00,2025-09-05 22:48:00+00:00,2025-07-14 08:11:00+00:00,2025-07-14 09:10:00+00:00,0.4081454666750663,high_vol,high_vol,True,rolling_volatility_m60
