motif_set_id,occurrence_id,candidate_start_idx,candidate_end_idx,candidate_start_time,candidate_end_time,start_idx,end_idx,length,start_time,end_time,l_min,l_max,rho,overlap,warping,nb,feature_columns,sample_name,dataset_name
0,0,379,411,2017-08-17 14:19:00+00:00,2017-08-17 14:50:00+00:00,379,411,32,2017-08-17 14:19:00+00:00,2017-08-17 14:50:00+00:00,30,120,0.7,0.1,True,1,"[""log_return"", ""vol_30m"", ""vol_60m"", ""vol_240m"", ""log_volume""]",BTCUSDT_1m,BTCUSDT_1m_processed
0,1,379,411,2017-08-17 14:19:00+00:00,2017-08-17 14:50:00+00:00,273,310,37,2017-08-17 12:33:00+00:00,2017-08-17 13:09:00+00:00,30,120,0.7,0.1,True,1,"[""log_return"", ""vol_30m"", ""vol_60m"", ""vol_240m"", ""log_volume""]",BTCUSDT_1m,BTCUSDT_1m_processed
0,2,379,411,2017-08-17 14:19:00+00:00,2017-08-17 14:50:00+00:00,316,334,18,2017-08-17 13:16:00+00:00,2017-08-17 13:33:00+00:00,30,120,0.7,0.1,True,1,"[""log_return"", ""vol_30m"", ""vol_60m"", ""vol_240m"", ""log_volume""]",BTCUSDT_1m,BTCUSDT_1m_processed
0,3,379,411,2017-08-17 14:19:00+00:00,2017-08-17 14:50:00+00:00,229,262,33,2017-08-17 11:49:00+00:00,2017-08-17 12:21:00+00:00,30,120,0.7,0.1,True,1,"[""log_return"", ""vol_30m"", ""vol_60m"", ""vol_240m"", ""log_volume""]",BTCUSDT_1m,BTCUSDT_1m_processed
0,4,379,411,2017-08-17 14:19:00+00:00,2017-08-17 14:50:00+00:00,151,193,42,2017-08-17 10:31:00+00:00,2017-08-17 11:12:00+00:00,30,120,0.7,0.1,True,1,"[""log_return"", ""vol_30m"", ""vol_60m"", ""vol_240m"", ""log_volume""]",BTCUSDT_1m,BTCUSDT_1m_processed
0,5,379,411,2017-08-17 14:19:00+00:00,2017-08-17 14:50:00+00:00,121,154,33,2017-08-17 10:01:00+00:00,2017-08-17 10:33:00+00:00,30,120,0.7,0.1,True,1,"[""log_return"", ""vol_30m"", ""vol_60m"", ""vol_240m"", ""log_volume""]",BTCUSDT_1m,BTCUSDT_1m_processed
0,6,379,411,2017-08-17 14:19:00+00:00,2017-08-17 14:50:00+00:00,84,119,35,2017-08-17 09:24:00+00:00,2017-08-17 09:58:00+00:00,30,120,0.7,0.1,True,1,"[""log_return"", ""vol_30m"", ""vol_60m"", ""vol_240m"", ""log_volume""]",BTCUSDT_1m,BTCUSDT_1m_processed
0,7,379,411,2017-08-17 14:19:00+00:00,2017-08-17 14:50:00+00:00,0,34,34,2017-08-17 08:00:00+00:00,2017-08-17 08:33:00+00:00,30,120,0.7,0.1,True,1,"[""log_return"", ""vol_30m"", ""vol_60m"", ""vol_240m"", ""log_volume""]",BTCUSDT_1m,BTCUSDT_1m_processed
0,8,379,411,2017-08-17 14:19:00+00:00,2017-08-17 14:50:00+00:00,940,973,33,2017-08-17 23:40:00+00:00,2017-08-18 00:12:00+00:00,30,120,0.7,0.1,True,1,"[""log_return"", ""vol_30m"", ""vol_60m"", ""vol_240m"", ""log_volume""]",BTCUSDT_1m,BTCUSDT_1m_processed
0,9,379,411,2017-08-17 14:19:00+00:00,2017-08-17 14:50:00+00:00,894,918,24,2017-08-17 22:54:00+00:00,2017-08-17 23:17:00+00:00,30,120,0.7,0.1,True,1,"[""log_return"", ""vol_30m"", ""vol_60m"", ""vol_240m"", ""log_volume""]",BTCUSDT_1m,BTCUSDT_1m_processed
