experiment_name,feature_mode,feature_tag,motif_set_id,occurrence_id,candidate_start_idx,candidate_end_idx,candidate_start_time,candidate_end_time,start_idx,end_idx,length,start_time,end_time,l_min,l_max,rho,overlap,warping,nb,feature_columns,sample_name,dataset_name
btcusdt_1m_locomotif_volonly_l30_120_rho07_debug1k,volonly,volonly,0,0,380,414,2017-08-17 14:20:00+00:00,2017-08-17 14:53:00+00:00,380,414,34,2017-08-17 14:20:00+00:00,2017-08-17 14:53:00+00:00,30,120,0.7,0.1,True,1,"[""vol_30m"", ""vol_60m"", ""vol_240m""]",BTCUSDT_1m,BTCUSDT_1m_processed
btcusdt_1m_locomotif_volonly_l30_120_rho07_debug1k,volonly,volonly,0,1,380,414,2017-08-17 14:20:00+00:00,2017-08-17 14:53:00+00:00,355,372,17,2017-08-17 13:55:00+00:00,2017-08-17 14:11:00+00:00,30,120,0.7,0.1,True,1,"[""vol_30m"", ""vol_60m"", ""vol_240m""]",BTCUSDT_1m,BTCUSDT_1m_processed
btcusdt_1m_locomotif_volonly_l30_120_rho07_debug1k,volonly,volonly,0,2,380,414,2017-08-17 14:20:00+00:00,2017-08-17 14:53:00+00:00,431,472,41,2017-08-17 15:11:00+00:00,2017-08-17 15:51:00+00:00,30,120,0.7,0.1,True,1,"[""vol_30m"", ""vol_60m"", ""vol_240m""]",BTCUSDT_1m,BTCUSDT_1m_processed
btcusdt_1m_locomotif_volonly_l30_120_rho07_debug1k,volonly,volonly,0,3,380,414,2017-08-17 14:20:00+00:00,2017-08-17 14:53:00+00:00,339,356,17,2017-08-17 13:39:00+00:00,2017-08-17 13:55:00+00:00,30,120,0.7,0.1,True,1,"[""vol_30m"", ""vol_60m"", ""vol_240m""]",BTCUSDT_1m,BTCUSDT_1m_processed
btcusdt_1m_locomotif_volonly_l30_120_rho07_debug1k,volonly,volonly,0,4,380,414,2017-08-17 14:20:00+00:00,2017-08-17 14:53:00+00:00,323,340,17,2017-08-17 13:23:00+00:00,2017-08-17 13:39:00+00:00,30,120,0.7,0.1,True,1,"[""vol_30m"", ""vol_60m"", ""vol_240m""]",BTCUSDT_1m,BTCUSDT_1m_processed
btcusdt_1m_locomotif_volonly_l30_120_rho07_debug1k,volonly,volonly,0,5,380,414,2017-08-17 14:20:00+00:00,2017-08-17 14:53:00+00:00,307,324,17,2017-08-17 13:07:00+00:00,2017-08-17 13:23:00+00:00,30,120,0.7,0.1,True,1,"[""vol_30m"", ""vol_60m"", ""vol_240m""]",BTCUSDT_1m,BTCUSDT_1m_processed
btcusdt_1m_locomotif_volonly_l30_120_rho07_debug1k,volonly,volonly,0,6,380,414,2017-08-17 14:20:00+00:00,2017-08-17 14:53:00+00:00,291,308,17,2017-08-17 12:51:00+00:00,2017-08-17 13:07:00+00:00,30,120,0.7,0.1,True,1,"[""vol_30m"", ""vol_60m"", ""vol_240m""]",BTCUSDT_1m,BTCUSDT_1m_processed
btcusdt_1m_locomotif_volonly_l30_120_rho07_debug1k,volonly,volonly,0,7,380,414,2017-08-17 14:20:00+00:00,2017-08-17 14:53:00+00:00,237,264,27,2017-08-17 11:57:00+00:00,2017-08-17 12:23:00+00:00,30,120,0.7,0.1,True,1,"[""vol_30m"", ""vol_60m"", ""vol_240m""]",BTCUSDT_1m,BTCUSDT_1m_processed
btcusdt_1m_locomotif_volonly_l30_120_rho07_debug1k,volonly,volonly,0,8,380,414,2017-08-17 14:20:00+00:00,2017-08-17 14:53:00+00:00,138,195,57,2017-08-17 10:18:00+00:00,2017-08-17 11:14:00+00:00,30,120,0.7,0.1,True,1,"[""vol_30m"", ""vol_60m"", ""vol_240m""]",BTCUSDT_1m,BTCUSDT_1m_processed
btcusdt_1m_locomotif_volonly_l30_120_rho07_debug1k,volonly,volonly,0,9,380,414,2017-08-17 14:20:00+00:00,2017-08-17 14:53:00+00:00,90,118,28,2017-08-17 09:30:00+00:00,2017-08-17 09:57:00+00:00,30,120,0.7,0.1,True,1,"[""vol_30m"", ""vol_60m"", ""vol_240m""]",BTCUSDT_1m,BTCUSDT_1m_processed
btcusdt_1m_locomotif_volonly_l30_120_rho07_debug1k,volonly,volonly,0,10,380,414,2017-08-17 14:20:00+00:00,2017-08-17 14:53:00+00:00,2,33,31,2017-08-17 08:02:00+00:00,2017-08-17 08:32:00+00:00,30,120,0.7,0.1,True,1,"[""vol_30m"", ""vol_60m"", ""vol_240m""]",BTCUSDT_1m,BTCUSDT_1m_processed
btcusdt_1m_locomotif_volonly_l30_120_rho07_debug1k,volonly,volonly,0,11,380,414,2017-08-17 14:20:00+00:00,2017-08-17 14:53:00+00:00,950,980,30,2017-08-17 23:50:00+00:00,2017-08-18 00:19:00+00:00,30,120,0.7,0.1,True,1,"[""vol_30m"", ""vol_60m"", ""vol_240m""]",BTCUSDT_1m,BTCUSDT_1m_processed
