rank,motif_idx,motif_end_idx,neighbor_idx,neighbor_end_idx,motif_start,motif_end,neighbor_start,neighbor_end,profile_value,window_minutes,target_column,analysis_type
1,6229,6288,5234,5293,2025-01-05 07:49:00+00:00,2025-01-05 08:48:00+00:00,2025-01-04 15:14:00+00:00,2025-01-04 16:13:00+00:00,4.28215833311586,60,log_return_volatility_60m,multivariate
2,2302,2361,4747,4806,2025-01-02 14:22:00+00:00,2025-01-02 15:21:00+00:00,2025-01-04 07:07:00+00:00,2025-01-04 08:06:00+00:00,4.315556128932856,60,log_return_volatility_60m,multivariate
3,9229,9288,6594,6653,2025-01-07 09:49:00+00:00,2025-01-07 10:48:00+00:00,2025-01-05 13:54:00+00:00,2025-01-05 14:53:00+00:00,4.4761812783166945,60,log_return_volatility_60m,multivariate
4,9468,9527,3627,3686,2025-01-07 13:48:00+00:00,2025-01-07 14:47:00+00:00,2025-01-03 12:27:00+00:00,2025-01-03 13:26:00+00:00,4.649037995008018,60,log_return_volatility_60m,multivariate
5,6935,6994,5477,5536,2025-01-05 19:35:00+00:00,2025-01-05 20:34:00+00:00,2025-01-04 19:17:00+00:00,2025-01-04 20:16:00+00:00,4.676791275074889,60,log_return_volatility_60m,multivariate
6,9290,9349,8008,8067,2025-01-07 10:50:00+00:00,2025-01-07 11:49:00+00:00,2025-01-06 13:28:00+00:00,2025-01-06 14:27:00+00:00,4.77555815463368,60,log_return_volatility_60m,multivariate
7,6045,6104,5331,5390,2025-01-05 04:45:00+00:00,2025-01-05 05:44:00+00:00,2025-01-04 16:51:00+00:00,2025-01-04 17:50:00+00:00,4.778973003682282,60,log_return_volatility_60m,multivariate
8,1691,1750,1156,1215,2025-01-02 04:11:00+00:00,2025-01-02 05:10:00+00:00,2025-01-01 19:16:00+00:00,2025-01-01 20:15:00+00:00,4.796014984054693,60,log_return_volatility_60m,multivariate
9,8706,8765,2701,2760,2025-01-07 01:06:00+00:00,2025-01-07 02:05:00+00:00,2025-01-02 21:01:00+00:00,2025-01-02 22:00:00+00:00,4.843356950765622,60,log_return_volatility_60m,multivariate
10,3804,3863,1765,1824,2025-01-03 15:24:00+00:00,2025-01-03 16:23:00+00:00,2025-01-02 05:25:00+00:00,2025-01-02 06:24:00+00:00,4.904696079961312,60,log_return_volatility_60m,multivariate
11,7685,7744,4636,4695,2025-01-06 08:05:00+00:00,2025-01-06 09:04:00+00:00,2025-01-04 05:16:00+00:00,2025-01-04 06:15:00+00:00,4.9069801576616445,60,log_return_volatility_60m,multivariate
12,7117,7176,7528,7587,2025-01-05 22:37:00+00:00,2025-01-05 23:36:00+00:00,2025-01-06 05:28:00+00:00,2025-01-06 06:27:00+00:00,4.9139010389124635,60,log_return_volatility_60m,multivariate
13,814,873,7196,7255,2025-01-01 13:34:00+00:00,2025-01-01 14:33:00+00:00,2025-01-05 23:56:00+00:00,2025-01-06 00:55:00+00:00,4.927971402324872,60,log_return_volatility_60m,multivariate
14,7624,7683,7361,7420,2025-01-06 07:04:00+00:00,2025-01-06 08:03:00+00:00,2025-01-06 02:41:00+00:00,2025-01-06 03:40:00+00:00,4.939138389414293,60,log_return_volatility_60m,multivariate
15,9581,9640,9883,9942,2025-01-07 15:41:00+00:00,2025-01-07 16:40:00+00:00,2025-01-07 20:43:00+00:00,2025-01-07 21:42:00+00:00,5.026505927989749,60,log_return_volatility_60m,multivariate
