tolerance_minutes,raw_rank,raw_event_type,raw_time,log_return_rank,log_return_event_type,log_return_time,absolute_time_gap_minutes
15,1,neighbor,2025-01-05 07:15:00+00:00,2,motif,2025-01-05 07:04:00+00:00,11.0
15,4,neighbor,2025-01-05 19:30:00+00:00,5,neighbor,2025-01-05 19:19:00+00:00,11.0
15,13,motif,2025-01-03 13:33:00+00:00,4,neighbor,2025-01-03 13:37:00+00:00,4.0
30,1,neighbor,2025-01-05 07:15:00+00:00,2,motif,2025-01-05 07:04:00+00:00,11.0
30,3,motif,2025-01-02 04:01:00+00:00,8,motif,2025-01-02 04:17:00+00:00,16.0
30,4,neighbor,2025-01-05 19:30:00+00:00,5,neighbor,2025-01-05 19:19:00+00:00,11.0
30,13,motif,2025-01-03 13:33:00+00:00,4,neighbor,2025-01-03 13:37:00+00:00,4.0
60,1,neighbor,2025-01-05 07:15:00+00:00,2,motif,2025-01-05 07:04:00+00:00,11.0
60,3,motif,2025-01-02 04:01:00+00:00,8,motif,2025-01-02 04:17:00+00:00,16.0
60,3,neighbor,2025-01-01 13:23:00+00:00,9,motif,2025-01-01 14:02:00+00:00,39.0
60,4,neighbor,2025-01-05 19:30:00+00:00,5,neighbor,2025-01-05 19:19:00+00:00,11.0
60,5,motif,2025-01-05 14:16:00+00:00,14,motif,2025-01-05 13:20:00+00:00,56.0
60,6,neighbor,2025-01-06 08:00:00+00:00,15,neighbor,2025-01-06 07:06:00+00:00,54.0
60,13,motif,2025-01-03 13:33:00+00:00,4,neighbor,2025-01-03 13:37:00+00:00,4.0
180,1,motif,2025-01-07 10:52:00+00:00,6,neighbor,2025-01-07 13:39:00+00:00,167.0
180,1,neighbor,2025-01-05 07:15:00+00:00,2,motif,2025-01-05 07:04:00+00:00,11.0
180,2,motif,2025-01-03 08:55:00+00:00,11,motif,2025-01-03 06:46:00+00:00,129.0
180,2,neighbor,2025-01-06 14:27:00+00:00,14,neighbor,2025-01-06 13:19:00+00:00,68.0
180,3,motif,2025-01-02 04:01:00+00:00,8,motif,2025-01-02 04:17:00+00:00,16.0
180,3,neighbor,2025-01-01 13:23:00+00:00,9,motif,2025-01-01 14:02:00+00:00,39.0
180,4,motif,2025-01-03 15:35:00+00:00,15,motif,2025-01-03 17:02:00+00:00,87.0
180,4,neighbor,2025-01-05 19:30:00+00:00,5,neighbor,2025-01-05 19:19:00+00:00,11.0
180,5,motif,2025-01-05 14:16:00+00:00,14,motif,2025-01-05 13:20:00+00:00,56.0
180,5,neighbor,2025-01-04 04:52:00+00:00,1,motif,2025-01-04 06:21:00+00:00,89.0
180,6,motif,2025-01-06 20:56:00+00:00,10,motif,2025-01-06 19:00:00+00:00,116.0
180,6,neighbor,2025-01-06 08:00:00+00:00,15,neighbor,2025-01-06 07:06:00+00:00,54.0
180,7,motif,2025-01-02 15:51:00+00:00,1,neighbor,2025-01-02 13:36:00+00:00,135.0
180,8,motif,2025-01-01 04:59:00+00:00,2,neighbor,2025-01-01 07:29:00+00:00,150.0
180,9,motif,2025-01-04 17:20:00+00:00,6,motif,2025-01-04 14:30:00+00:00,170.0
180,9,neighbor,2025-01-04 20:06:00+00:00,4,motif,2025-01-04 22:07:00+00:00,121.0
180,10,motif,2025-01-07 14:46:00+00:00,6,neighbor,2025-01-07 13:39:00+00:00,67.0
180,10,neighbor,2025-01-07 16:39:00+00:00,6,neighbor,2025-01-07 13:39:00+00:00,180.0
180,11,motif,2025-01-06 04:28:00+00:00,15,neighbor,2025-01-06 07:06:00+00:00,158.0
180,11,neighbor,2025-01-02 06:44:00+00:00,8,motif,2025-01-02 04:17:00+00:00,147.0
180,12,neighbor,2025-01-05 03:46:00+00:00,3,motif,2025-01-05 06:04:00+00:00,138.0
180,13,motif,2025-01-03 13:33:00+00:00,4,neighbor,2025-01-03 13:37:00+00:00,4.0
180,14,neighbor,2025-01-06 10:45:00+00:00,14,neighbor,2025-01-06 13:19:00+00:00,154.0
360,1,motif,2025-01-07 10:52:00+00:00,6,neighbor,2025-01-07 13:39:00+00:00,167.0
360,1,neighbor,2025-01-05 07:15:00+00:00,2,motif,2025-01-05 07:04:00+00:00,11.0
360,2,motif,2025-01-03 08:55:00+00:00,11,motif,2025-01-03 06:46:00+00:00,129.0
360,2,neighbor,2025-01-06 14:27:00+00:00,14,neighbor,2025-01-06 13:19:00+00:00,68.0
