rank,motif_idx,motif_end_idx,neighbor_idx,neighbor_end_idx,motif_start,motif_end,neighbor_start,neighbor_end,profile_value,window_minutes,target_column,analysis_type
1,9292,9351,6195,6254,2025-01-07 10:52:00+00:00,2025-01-07 11:51:00+00:00,2025-01-05 07:15:00+00:00,2025-01-05 08:14:00+00:00,1.5760775674355556,60,close,raw_close
2,3415,3474,8067,8126,2025-01-03 08:55:00+00:00,2025-01-03 09:54:00+00:00,2025-01-06 14:27:00+00:00,2025-01-06 15:26:00+00:00,1.8179042099326423,60,close,raw_close
3,1681,1740,803,862,2025-01-02 04:01:00+00:00,2025-01-02 05:00:00+00:00,2025-01-01 13:23:00+00:00,2025-01-01 14:22:00+00:00,1.8275650723588053,60,close,raw_close
4,3815,3874,6930,6989,2025-01-03 15:35:00+00:00,2025-01-03 16:34:00+00:00,2025-01-05 19:30:00+00:00,2025-01-05 20:29:00+00:00,1.9468440929842412,60,close,raw_close
5,6616,6675,4612,4671,2025-01-05 14:16:00+00:00,2025-01-05 15:15:00+00:00,2025-01-04 04:52:00+00:00,2025-01-04 05:51:00+00:00,1.9484524834170813,60,close,raw_close
6,8456,8515,7680,7739,2025-01-06 20:56:00+00:00,2025-01-06 21:55:00+00:00,2025-01-06 08:00:00+00:00,2025-01-06 08:59:00+00:00,1.972553979831373,60,close,raw_close
7,2391,2450,1938,1997,2025-01-02 15:51:00+00:00,2025-01-02 16:50:00+00:00,2025-01-02 08:18:00+00:00,2025-01-02 09:17:00+00:00,2.0153368281751938,60,close,raw_close
8,299,358,5447,5506,2025-01-01 04:59:00+00:00,2025-01-01 05:58:00+00:00,2025-01-04 18:47:00+00:00,2025-01-04 19:46:00+00:00,2.081173264670398,60,close,raw_close
9,5360,5419,5526,5585,2025-01-04 17:20:00+00:00,2025-01-04 18:19:00+00:00,2025-01-04 20:06:00+00:00,2025-01-04 21:05:00+00:00,2.0920980900318593,60,close,raw_close
10,9526,9585,9639,9698,2025-01-07 14:46:00+00:00,2025-01-07 15:45:00+00:00,2025-01-07 16:39:00+00:00,2025-01-07 17:38:00+00:00,2.1067481530984526,60,close,raw_close
11,7468,7527,1844,1903,2025-01-06 04:28:00+00:00,2025-01-06 05:27:00+00:00,2025-01-02 06:44:00+00:00,2025-01-02 07:43:00+00:00,2.1479337068354645,60,close,raw_close
12,2976,3035,5986,6045,2025-01-03 01:36:00+00:00,2025-01-03 02:35:00+00:00,2025-01-05 03:46:00+00:00,2025-01-05 04:45:00+00:00,2.158758562232097,60,close,raw_close
13,3693,3752,121,180,2025-01-03 13:33:00+00:00,2025-01-03 14:32:00+00:00,2025-01-01 02:01:00+00:00,2025-01-01 03:00:00+00:00,2.173733385634904,60,close,raw_close
14,9121,9180,7845,7904,2025-01-07 08:01:00+00:00,2025-01-07 09:00:00+00:00,2025-01-06 10:45:00+00:00,2025-01-06 11:44:00+00:00,2.1814419668639835,60,close,raw_close
15,2459,2518,9215,9274,2025-01-02 16:59:00+00:00,2025-01-02 17:58:00+00:00,2025-01-07 09:35:00+00:00,2025-01-07 10:34:00+00:00,2.271003023891595,60,close,raw_close
